afsc,tier,CIP_Code,submitDate,submittedBy,tierOrder
13M,P,1.0906,08NOV2018:00:00:00,1234567891A,3
13M,P,1.0907,08NOV2018:00:00:00,1234567891A,3
13M,P,1.0999,08NOV2018:00:00:00,1234567891A,3
13M,P,1.1001,08NOV2018:00:00:00,1234567891A,3
13M,P,1.1002,08NOV2018:00:00:00,1234567891A,3
13M,P,1.1099,08NOV2018:00:00:00,1234567891A,3
13M,P,1.1101,08NOV2018:00:00:00,1234567891A,3
13M,P,1.1102,08NOV2018:00:00:00,1234567891A,3
13M,P,1.1103,08NOV2018:00:00:00,1234567891A,3
13M,P,1.1104,08NOV2018:00:00:00,1234567891A,3
13M,P,1.1105,08NOV2018:00:00:00,1234567891A,3
13M,P,1.1106,08NOV2018:00:00:00,1234567891A,3
13M,P,1.1199,08NOV2018:00:00:00,1234567891A,3
13M,P,1.1201,08NOV2018:00:00:00,1234567891A,3
13M,P,1.1202,08NOV2018:00:00:00,1234567891A,3
13M,P,1.1203,08NOV2018:00:00:00,1234567891A,3
13M,P,1.1299,08NOV2018:00:00:00,1234567891A,3
13M,P,1.9999,08NOV2018:00:00:00,1234567891A,3
13M,P,3.0101,08NOV2018:00:00:00,1234567891A,3
13M,P,3.0103,08NOV2018:00:00:00,1234567891A,3
13M,P,3.0104,08NOV2018:00:00:00,1234567891A,3
13M,P,3.0199,08NOV2018:00:00:00,1234567891A,3
13M,P,3.0201,08NOV2018:00:00:00,1234567891A,3
13M,P,3.0204,08NOV2018:00:00:00,1234567891A,3
13M,P,3.0205,08NOV2018:00:00:00,1234567891A,3
13M,P,3.0206,08NOV2018:00:00:00,1234567891A,3
13M,P,3.0207,08NOV2018:00:00:00,1234567891A,3
13M,P,3.0208,08NOV2018:00:00:00,1234567891A,3
13M,P,3.0299,08NOV2018:00:00:00,1234567891A,3
13M,P,3.0301,08NOV2018:00:00:00,1234567891A,3
13M,P,3.0501,08NOV2018:00:00:00,1234567891A,3
13M,P,3.0502,08NOV2018:00:00:00,1234567891A,3
13M,P,3.0506,08NOV2018:00:00:00,1234567891A,3
13M,P,3.0508,08NOV2018:00:00:00,1234567891A,3
13M,P,3.0509,08NOV2018:00:00:00,1234567891A,3
13M,P,3.051,08NOV2018:00:00:00,1234567891A,3
13M,P,3.0511,08NOV2018:00:00:00,1234567891A,3
13M,P,3.0599,08NOV2018:00:00:00,1234567891A,3
13M,P,3.0601,08NOV2018:00:00:00,1234567891A,3
13M,P,3.9999,08NOV2018:00:00:00,1234567891A,3
13M,P,4.0201,08NOV2018:00:00:00,1234567891A,3
13M,P,4.0301,08NOV2018:00:00:00,1234567891A,3
13M,P,4.0401,08NOV2018:00:00:00,1234567891A,3
13M,P,4.0501,08NOV2018:00:00:00,1234567891A,3
13M,P,4.0601,08NOV2018:00:00:00,1234567891A,3
13M,P,4.0801,08NOV2018:00:00:00,1234567891A,3
13M,P,4.0901,08NOV2018:00:00:00,1234567891A,3
13M,P,4.0902,08NOV2018:00:00:00,1234567891A,3
13M,P,4.0999,08NOV2018:00:00:00,1234567891A,3
13M,P,4.1001,08NOV2018:00:00:00,1234567891A,3
13M,P,4.9999,08NOV2018:00:00:00,1234567891A,3
13M,P,5.0101,08NOV2018:00:00:00,1234567891A,3
13M,P,5.0102,08NOV2018:00:00:00,1234567891A,3
13M,P,5.0103,08NOV2018:00:00:00,1234567891A,3
13M,P,5.0104,08NOV2018:00:00:00,1234567891A,3
13M,P,5.0105,08NOV2018:00:00:00,1234567891A,3
13M,P,5.0106,08NOV2018:00:00:00,1234567891A,3
13M,P,5.0107,08NOV2018:00:00:00,1234567891A,3
13M,P,5.0108,08NOV2018:00:00:00,1234567891A,3
13M,P,5.0109,08NOV2018:00:00:00,1234567891A,3
13M,P,5.011,08NOV2018:00:00:00,1234567891A,3
13M,P,5.0111,08NOV2018:00:00:00,1234567891A,3
13M,P,5.0112,08NOV2018:00:00:00,1234567891A,3
13M,P,5.0113,08NOV2018:00:00:00,1234567891A,3
13M,P,5.0114,08NOV2018:00:00:00,1234567891A,3
13M,P,5.0115,08NOV2018:00:00:00,1234567891A,3
13M,P,5.0116,08NOV2018:00:00:00,1234567891A,3
13M,P,5.0117,08NOV2018:00:00:00,1234567891A,3
13M,P,5.0118,08NOV2018:00:00:00,1234567891A,3
13M,P,5.0119,08NOV2018:00:00:00,1234567891A,3
13M,P,5.012,08NOV2018:00:00:00,1234567891A,3
13M,P,5.0121,08NOV2018:00:00:00,1234567891A,3
13M,P,5.0122,08NOV2018:00:00:00,1234567891A,3
13M,P,5.0123,08NOV2018:00:00:00,1234567891A,3
13M,P,5.0124,08NOV2018:00:00:00,1234567891A,3
13M,P,5.0125,08NOV2018:00:00:00,1234567891A,3
13M,P,5.0126,08NOV2018:00:00:00,1234567891A,3
13M,P,5.0127,08NOV2018:00:00:00,1234567891A,3
13M,P,5.0128,08NOV2018:00:00:00,1234567891A,3
13M,P,5.0129,08NOV2018:00:00:00,1234567891A,3
13M,P,5.013,08NOV2018:00:00:00,1234567891A,3
13M,P,5.0131,08NOV2018:00:00:00,1234567891A,3
13M,P,5.0132,08NOV2018:00:00:00,1234567891A,3
13M,P,5.0133,08NOV2018:00:00:00,1234567891A,3
13M,P,5.0134,08NOV2018:00:00:00,1234567891A,3
13M,P,5.0199,08NOV2018:00:00:00,1234567891A,3
13M,P,5.02,08NOV2018:00:00:00,1234567891A,3
13M,P,5.0201,08NOV2018:00:00:00,1234567891A,3
13M,P,5.0202,08NOV2018:00:00:00,1234567891A,3
13M,P,5.0203,08NOV2018:00:00:00,1234567891A,3
13M,P,5.0206,08NOV2018:00:00:00,1234567891A,3
13M,P,5.0207,08NOV2018:00:00:00,1234567891A,3
13M,P,5.0208,08NOV2018:00:00:00,1234567891A,3
13M,P,5.0209,08NOV2018:00:00:00,1234567891A,3
13M,P,5.021,08NOV2018:00:00:00,1234567891A,3
13M,P,5.0211,08NOV2018:00:00:00,1234567891A,3
13M,P,5.0299,08NOV2018:00:00:00,1234567891A,3
13M,P,5.9999,08NOV2018:00:00:00,1234567891A,3
13M,P,9.01,08NOV2018:00:00:00,1234567891A,3
13M,P,9.0101,08NOV2018:00:00:00,1234567891A,3
13M,P,9.0102,08NOV2018:00:00:00,1234567891A,3
13M,P,9.0199,08NOV2018:00:00:00,1234567891A,3
13M,P,9.0401,08NOV2018:00:00:00,1234567891A,3
13M,P,9.0402,08NOV2018:00:00:00,1234567891A,3
13M,P,9.0404,08NOV2018:00:00:00,1234567891A,3
13M,P,9.0499,08NOV2018:00:00:00,1234567891A,3
13M,P,9.0701,08NOV2018:00:00:00,1234567891A,3
13M,P,9.0702,08NOV2018:00:00:00,1234567891A,3
13M,P,9.0799,08NOV2018:00:00:00,1234567891A,3
13M,P,9.09,08NOV2018:00:00:00,1234567891A,3
13M,P,9.0901,08NOV2018:00:00:00,1234567891A,3
13M,P,9.0902,08NOV2018:00:00:00,1234567891A,3
13M,P,9.0903,08NOV2018:00:00:00,1234567891A,3
13M,P,9.0904,08NOV2018:00:00:00,1234567891A,3
13M,P,9.0905,08NOV2018:00:00:00,1234567891A,3
13M,P,9.0906,08NOV2018:00:00:00,1234567891A,3
13M,P,9.0907,08NOV2018:00:00:00,1234567891A,3
13M,P,9.0908,08NOV2018:00:00:00,1234567891A,3
13M,P,9.0999,08NOV2018:00:00:00,1234567891A,3
13M,P,9.1001,08NOV2018:00:00:00,1234567891A,3
13M,P,9.9999,08NOV2018:00:00:00,1234567891A,3
13M,P,10.0105,08NOV2018:00:00:00,1234567891A,3
13M,P,10.0201,08NOV2018:00:00:00,1234567891A,3
13M,P,10.0202,08NOV2018:00:00:00,1234567891A,3
13M,P,10.0203,08NOV2018:00:00:00,1234567891A,3
13M,P,10.0299,08NOV2018:00:00:00,1234567891A,3
13M,P,10.0301,08NOV2018:00:00:00,1234567891A,3
13M,P,10.0302,08NOV2018:00:00:00,1234567891A,3
13M,P,10.0303,08NOV2018:00:00:00,1234567891A,3
13M,P,10.0304,08NOV2018:00:00:00,1234567891A,3
13M,P,10.0305,08NOV2018:00:00:00,1234567891A,3
13M,P,10.0306,08NOV2018:00:00:00,1234567891A,3
13M,P,10.0307,08NOV2018:00:00:00,1234567891A,3
13M,P,10.0308,08NOV2018:00:00:00,1234567891A,3
13M,P,10.0399,08NOV2018:00:00:00,1234567891A,3
13M,P,10.9999,08NOV2018:00:00:00,1234567891A,3
13M,P,11.0101,08NOV2018:00:00:00,1234567891A,3
13M,P,11.0102,08NOV2018:00:00:00,1234567891A,3
13M,P,11.0103,08NOV2018:00:00:00,1234567891A,3
13M,P,11.0104,08NOV2018:00:00:00,1234567891A,3
13M,P,11.0199,08NOV2018:00:00:00,1234567891A,3
13M,P,11.0201,08NOV2018:00:00:00,1234567891A,3
13M,P,11.0202,08NOV2018:00:00:00,1234567891A,3
13M,P,11.0203,08NOV2018:00:00:00,1234567891A,3
13M,P,11.0299,08NOV2018:00:00:00,1234567891A,3
13M,P,11.0301,08NOV2018:00:00:00,1234567891A,3
13M,P,11.0401,08NOV2018:00:00:00,1234567891A,3
13M,P,11.0501,08NOV2018:00:00:00,1234567891A,3
13M,P,11.0601,08NOV2018:00:00:00,1234567891A,3
13M,P,11.0602,08NOV2018:00:00:00,1234567891A,3
13M,P,11.0699,08NOV2018:00:00:00,1234567891A,3
13M,P,11.0701,08NOV2018:00:00:00,1234567891A,3
13M,P,11.0801,08NOV2018:00:00:00,1234567891A,3
13M,P,11.0802,08NOV2018:00:00:00,1234567891A,3
13M,P,11.0803,08NOV2018:00:00:00,1234567891A,3
13M,P,11.0804,08NOV2018:00:00:00,1234567891A,3
13M,P,11.0899,08NOV2018:00:00:00,1234567891A,3
13M,P,11.0901,08NOV2018:00:00:00,1234567891A,3
13M,P,11.1001,08NOV2018:00:00:00,1234567891A,3
13M,P,11.1002,08NOV2018:00:00:00,1234567891A,3
13M,P,11.1003,08NOV2018:00:00:00,1234567891A,3
13M,P,11.1004,08NOV2018:00:00:00,1234567891A,3
13M,P,11.1005,08NOV2018:00:00:00,1234567891A,3
13M,P,11.1006,08NOV2018:00:00:00,1234567891A,3
13M,P,11.1099,08NOV2018:00:00:00,1234567891A,3
13M,P,11.9999,08NOV2018:00:00:00,1234567891A,3
13M,P,12.0301,08NOV2018:00:00:00,1234567891A,3
13M,P,12.0302,08NOV2018:00:00:00,1234567891A,3
13M,P,12.0303,08NOV2018:00:00:00,1234567891A,3
13M,P,12.0399,08NOV2018:00:00:00,1234567891A,3
13M,P,12.0401,08NOV2018:00:00:00,1234567891A,3
13M,P,12.0402,08NOV2018:00:00:00,1234567891A,3
13M,P,12.0404,08NOV2018:00:00:00,1234567891A,3
13M,P,12.0406,08NOV2018:00:00:00,1234567891A,3
13M,P,12.0407,08NOV2018:00:00:00,1234567891A,3
13M,P,12.0408,08NOV2018:00:00:00,1234567891A,3
13M,P,12.0409,08NOV2018:00:00:00,1234567891A,3
13M,P,12.041,08NOV2018:00:00:00,1234567891A,3
13M,P,12.0411,08NOV2018:00:00:00,1234567891A,3
13M,P,12.0412,08NOV2018:00:00:00,1234567891A,3
13M,P,12.0413,08NOV2018:00:00:00,1234567891A,3
13M,P,12.0414,08NOV2018:00:00:00,1234567891A,3
13M,P,12.0499,08NOV2018:00:00:00,1234567891A,3
13M,P,12.05,08NOV2018:00:00:00,1234567891A,3
13M,P,12.0501,08NOV2018:00:00:00,1234567891A,3
